rank,filename,final_score,sharpness,color_diversity,composition,contrast,problems,file_size,timestamp
47,batch_20250619_085201_scene14_tw.png,0.5124,304.3,628.54,0.1001,79.3,None,1349788,2025-06-19T11:47:39.841964
48,batch_20250619_085140_scene13_ig.png,0.5064,312.77,553.98,0.2043,68.51,None,1120153,2025-06-19T11:47:57.111276
49,batch_20250619_090214_scene02_ig.png,0.5023,252.51,609.85,0.1307,80.12,None,1245614,2025-06-19T11:48:09.081736
50,batch_20250619_090855_scene13_tt.png,0.4945,225.8,549.71,0.1658,78.02,None,1227985,2025-06-19T11:50:07.205088
51,maldives_watch_3_A_ig_watermarked.png,0.4768,202.99,503.05,0.4487,54.91,None,875102,2025-06-19T11:49:34.833357
52,batch_20250619_085144_scene13_tt.png,0.4766,154.16,603.01,0.2378,75.33,None,1063530,2025-06-19T11:50:48.363120
53,london_silk_12_B_tt.png,0.4758,500.54,400.23,0.337,41.71,None,1477033,2025-06-19T11:49:17.807150
54,batch_20250619_085816_scene03_tw.png,0.4669,258.86,514.17,0.0252,68.05,None,1234181,2025-06-19T11:50:13.045856
55,london_camera_11_B_ig.png,0.4615,134.13,580.43,0.1586,75.7,None,979651,2025-06-19T11:48:51.468410
56,maldives_phone_9_B_tt.png,0.4551,121.23,516.35,0.4546,55.94,None,1127490,2025-06-19T11:48:54.185886
57,london_camera_11_B_tw.png,0.4489,160.3,533.39,0.1341,67.0,None,1178924,2025-06-19T11:50:36.396730
58,batch_20250619_083718_scene03_tt.png,0.4463,58.33,631.33,0.1458,80.3,None,1057060,2025-06-19T11:49:46.710986
59,elegant_luxury_business_20250619_071542_ig.png,0.4423,63.85,582.04,0.2451,71.24,None,1024267,2025-06-19T11:48:40.485551
60,batch_20250619_085733_scene20_tt.png,0.4298,162.63,600.92,0.2303,51.12,None,1022130,2025-06-19T11:49:14.753461
61,maldives_silk_2_B_tt_watermarked.png,0.4297,206.69,528.79,0.0939,53.0,None,1158465,2025-06-19T11:50:30.147455
62,maldives_phone_9_A_ig_watermarked.png,0.4262,162.05,506.41,0.2102,50.66,None,1018391,2025-06-19T11:48:23.312568
63,maldives_phone_9_A_ig.png,0.4208,158.88,515.56,0.0336,59.48,None,1098134,2025-06-19T11:48:59.668286
64,maldives_phone_9_B_ig_watermarked.png,0.4191,111.02,554.47,0.1196,60.42,None,1115042,2025-06-19T11:47:33.427789
65,batch_20250619_083730_scene04_tt.png,0.4156,65.96,582.28,0.0662,68.8,None,1148062,2025-06-19T11:49:37.647648
66,batch_20250619_083726_scene04_ig.png,0.4131,57.92,572.85,0.0664,68.7,None,1036000,2025-06-19T11:48:26.330513
67,test_apple.png,0.4036,154.89,546.54,0.0998,47.35,None,343571,2025-06-19T11:47:36.656114
68,batch_20250619_083756_scene06_tt.png,0.4001,58.03,500.32,0.1075,59.61,None,1307742,2025-06-19T11:50:45.347305
69,maldives_card_5_B_ig.png,0.3881,107.0,536.69,0.0092,52.42,None,1082639,2025-06-19T11:49:29.083359
70,maldives_portfolio_4_A_tt_watermarked.png,0.3858,77.98,472.06,0.1518,53.7,None,1101846,2025-06-19T11:50:27.376437
71,maldives_card_5_A_ig_watermarked.png,0.3576,73.21,489.41,0.0351,43.26,None,872386,2025-06-19T11:48:42.947099
72,maldives_card_5_A_tw_watermarked.png,0.27,23.96,481.54,0.1152,53.85,motion_blur,930635,2025-06-19T11:48:06.114078
